OPTI_DATA/GENE1243
     1.000000    0.000000
     0.999407    0.000404
     0.997630    0.001598
     0.994674    0.003535
     0.990546    0.006141
     0.985259    0.009321
     0.978827    0.012968
     0.971268    0.016976
     0.962602    0.021242
     0.952854    0.025679
     0.942049    0.030218
     0.930218    0.034813
     0.917393    0.039441
     0.903609    0.044096
     0.888903    0.048792
     0.873316    0.053553
     0.856888    0.058406
     0.839665    0.063380
     0.821692    0.068498
     0.803017    0.073776
     0.783690    0.079218
     0.763762    0.084815
     0.743284    0.090549
     0.722311    0.096390
     0.700896    0.102303
     0.679094    0.108242
     0.656961    0.114159
     0.634552    0.120002
     0.611924    0.125716
     0.589133    0.131247
     0.566233    0.136537
     0.543282    0.141531
     0.520333    0.146171
     0.497440    0.150404
     0.474657    0.154176
     0.452035    0.157438
     0.429625    0.160147
     0.407476    0.162265
     0.385636    0.163762
     0.364150    0.164616
     0.343062    0.164817
     0.322414    0.164359
     0.302245    0.163252
     0.282592    0.161508
     0.263490    0.159150
     0.244971    0.156208
     0.227065    0.152716
     0.209797    0.148713
     0.193193    0.144243
     0.177272    0.139350
     0.162052    0.134084
     0.147549    0.128495
     0.133774    0.122635
     0.120736    0.116556
     0.108441    0.110313
     0.096891    0.103959
     0.086085    0.097546
     0.076020    0.091125
     0.066689    0.084744
     0.058083    0.078448
     0.050188    0.072275
     0.042989    0.066262
     0.036469    0.060435
     0.030605    0.054818
     0.025373    0.049429
     0.020749    0.044279
     0.016702    0.039374
     0.013202    0.034719
     0.010215    0.030314
     0.007707    0.026159
     0.005640    0.022251
     0.003974    0.018592
     0.002670    0.015183
     0.001686    0.012029
     0.000978    0.009142
     0.000502    0.006538
     0.000212    0.004246
     0.000063    0.002311
     0.000008    0.000817
     0.000000    0.000000
     0.000008    -0.000416
     0.000063    -0.001176
     0.000212    -0.002158
     0.000502    -0.003313
     0.000978    -0.004610
     0.001686    -0.006022
     0.002670    -0.007524
     0.003974    -0.009093
     0.005640    -0.010703
     0.007707    -0.012330
     0.010215    -0.013948
     0.013202    -0.015533
     0.016702    -0.017061
     0.020749    -0.018511
     0.025373    -0.019862
     0.030605    -0.021097
     0.036469    -0.022201
     0.042989    -0.023161
     0.050188    -0.023964
     0.058083    -0.024598
     0.066689    -0.025049
     0.076020    -0.025300
     0.086085    -0.025329
     0.096891    -0.025112
     0.108441    -0.024616
     0.120736    -0.023807
     0.133774    -0.022648
     0.147549    -0.021101
     0.162052    -0.019133
     0.177272    -0.016719
     0.193193    -0.013844
     0.209797    -0.010511
     0.227065    -0.006740
     0.244971    -0.002572
     0.263490    0.001932
     0.282592    0.006690
     0.302245    0.011609
     0.322414    0.016582
     0.343062    0.021498
     0.364150    0.026252
     0.385636    0.030742
     0.407476    0.034887
     0.429625    0.038619
     0.452035    0.041894
     0.474657    0.044689
     0.497440    0.046998
     0.520333    0.048835
     0.543282    0.050221
     0.566233    0.051188
     0.589133    0.051770
     0.611924    0.051998
     0.634552    0.051902
     0.656961    0.051505
     0.679094    0.050829
     0.700896    0.049892
     0.722311    0.048709
     0.743284    0.047297
     0.763762    0.045675
     0.783690    0.043863
     0.803017    0.041885
     0.821692    0.039764
     0.839665    0.037520
     0.856888    0.035172
     0.873316    0.032735
     0.888903    0.030218
     0.903609    0.027628
     0.917393    0.024970
     0.930218    0.022251
     0.942049    0.019484
     0.952854    0.016693
     0.962602    0.013914
     0.971268    0.011198
     0.978827    0.008609
     0.985259    0.006222
     0.990546    0.004119
     0.994674    0.002381
     0.997630    0.001079
     0.999407    0.000273
     1.000000    0.000000
